code,image_path,source_pdf,page,match_type,confidence,notes
CGQ-120,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGQ-120.png,dors-listino-260401.pdf,61,direct_single_column,high,direct code-under-drawing crop
CGV-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-010.png,dors-listino-260401.pdf,63,direct_single_column,high,direct code-under-drawing crop
CGV-020,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-020.png,dors-listino-260401.pdf,63,direct_single_column,high,direct code-under-drawing crop
CGV-030,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-030.png,dors-listino-260401.pdf,63,direct_single_column,high,direct code-under-drawing crop
CGV-040,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-040.png,dors-listino-260401.pdf,63,direct_single_column,high,direct code-under-drawing crop
CGV-050,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-050.png,dors-listino-260401.pdf,64,direct_single_column,high,direct code-under-drawing crop
CGV-060,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-060.png,dors-listino-260401.pdf,64,direct_single_column,high,direct code-under-drawing crop
CGV-070,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-070.png,dors-listino-260401.pdf,64,direct_single_column,high,direct code-under-drawing crop
CGV-080,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-080.png,dors-listino-260401.pdf,64,direct_single_column,high,direct code-under-drawing crop
CGV-090,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-090.png,dors-listino-260401.pdf,65,direct_single_column,high,direct code-under-drawing crop
CGV-100,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-100.png,dors-listino-260401.pdf,65,direct_single_column,high,direct code-under-drawing crop
CGV-110,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-110.png,dors-general-catalogue-250605.pdf,22,direct_grid,high,direct code-under-drawing crop
CGV-120,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CGV-120.png,dors-general-catalogue-250605.pdf,22,direct_grid,high,direct code-under-drawing crop
CL0-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-010.png,dors-listino-260401.pdf,47,direct_single_column,high,direct code-under-drawing crop
CL0-020,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-020.png,dors-listino-260401.pdf,47,direct_single_column,high,direct code-under-drawing crop
CL0-030,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-030.png,dors-listino-260401.pdf,47,direct_single_column,high,direct code-under-drawing crop
CL0-040,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-040.png,dors-listino-260401.pdf,47,direct_single_column,high,direct code-under-drawing crop
